Model(Scen)/Test,MAE,RMSE,MAPE,Pearson,SNR,MACC
CHROME(E)/DLCN,19.3226±0.2890,27.0131±4.1931,18.9707±0.2554,0.1221±0.0152,-13.4333±0.1837,0.5793±0.0025
CHROME(FIFP)/DLCN,11.1006±0.2938,17.5300±3.7714,12.1496±0.2923,0.3422±0.0204,-7.6358±0.2172,0.6663±0.0032
CHROME(FIVP)/DLCN,18.4303±0.3646,24.9979±4.5705,19.0646±0.3429,0.1015±0.0215,-13.6784±0.2425,0.5691±0.0033
CHROME(R)/DLCN,12.4078±0.1924,17.6981±2.8548,14.1651±0.2080,0.2146±0.0149,-10.0118±0.1546,0.6198±0.0023
CHROME(VIFP)/DLCN,14.6416±0.3398,21.4951±4.2233,15.4705±0.3257,0.2143±0.0211,-10.9854±0.2395,0.6091±0.0034
CHROME(VIVP)/DLCN,19.2068±0.3852,26.2132±4.8986,19.5241±0.3438,0.0501±0.0216,-14.5407±0.2426,0.5544±0.0033
ICA(E)/DLCN,26.9560±0.3460,35.1780±4.8611,26.4691±0.3017,-0.0178±0.0153,-17.0832±0.2375,0.5329±0.0030
ICA(FIFP)/DLCN,9.2614±0.3209,17.4755±4.0793,9.8449±0.3112,0.4162±0.0197,-3.9518±0.2543,0.7244±0.0037
ICA(FIVP)/DLCN,27.0052±0.4411,33.8613±5.4558,27.9629±0.4012,-0.0199±0.0216,-18.2652±0.3018,0.4991±0.0037
ICA(R)/DLCN,18.2737±0.2435,24.2668±3.3855,20.5818±0.2541,0.1208±0.0151,-12.7242±0.1973,0.5677±0.0029
ICA(VIFP)/DLCN,24.2005±0.4090,30.7314±5.0438,25.4309±0.3719,0.0181±0.0216,-16.3719±0.2849,0.5211±0.0036
ICA(VIVP)/DLCN,29.8487±0.4079,35.3242±5.4426,30.7398±0.3447,0.0253±0.0216,-20.9300±0.2712,0.4578±0.0031
POS(E)/DLCN,18.0888±0.2879,26.0938±4.1430,17.6187±0.2522,0.1409±0.0152,-12.3162±0.1972,0.5863±0.0026
POS(FIFP)/DLCN,8.0416±0.2489,14.0300±3.2912,8.8104±0.2480,0.5502±0.0181,-4.6120±0.2221,0.6968±0.0031
POS(FIVP)/DLCN,17.2749±0.3608,24.0351±4.5408,17.7587±0.3344,0.1067±0.0215,-12.8450±0.2486,0.5681±0.0033
POS(R)/DLCN,11.0160±0.1805,16.1725±2.6931,12.5426±0.1935,0.2995±0.0146,-8.6820±0.1615,0.6244±0.0024
POS(VIFP)/DLCN,13.6084±0.3334,20.5812±4.2110,14.1927±0.3098,0.2460±0.0209,-9.8808±0.2521,0.6147±0.0034
POS(VIVP)/DLCN,19.1924±0.3823,26.1132±4.8245,19.4856±0.3386,0.0393±0.0216,-14.5969±0.2532,0.5426±0.0032
